record_id,district,crop,season,growth_stage,crop_age_days,temperature_C,humidity_pct,rainfall_mm,soil_moisture_pct,wind_speed_kmh,prev_disease_history,likely_disease,risk_level
AGR0089,Sikar,Chickpea,Rabi,Flowering,66,21.3,64.8,20.1,46.2,11.1,1,Wilt,Medium
AGR0090,Dausa,Mustard,Rabi,Vegetative,43,29.8,62.6,4.1,23.1,0.7,0,None,Low
AGR0091,Bikaner,Wheat,Rabi,Flowering,51,17.8,60.1,21.0,45.5,3.6,0,Powdery Mildew,Medium
AGR0092,Jodhpur,Bajra,Kharif,Seedling,3,38.0,91.4,7.5,36.3,23.8,1,Ergot,Medium
AGR0093,Bundi,Soybean,Kharif,Seedling,14,41.8,84.9,39.2,72.0,27.8,0,None,Low
AGR0094,Nagaur,Bajra,Kharif,Maturity,87,34.1,64.8,41.9,69.9,17.2,0,None,Low
AGR0095,Kota,Soybean,Kharif,Flowering,67,33.6,62.2,37.8,78.8,2.3,0,Bacterial Pustule,Medium
AGR0096,Tonk,Mustard,Rabi,Flowering,65,33.0,47.9,3.2,22.2,12.4,0,None,Low
AGR0097,Tonk,Mustard,Rabi,Flowering,72,9.1,67.7,22.6,60.4,23.4,0,None,Low
AGR0098,Alwar,Mustard,Rabi,Flowering,60,11.4,36.9,20.3,35.4,25.9,1,White Rust,Medium
AGR0099,Bikaner,Wheat,Rabi,Maturity,91,20.4,57.4,8.0,25.3,25.0,0,None,Low
AGR0100,Churu,Wheat,Rabi,Flowering,76,25.4,45.9,7.5,17.4,25.0,1,Powdery Mildew,Medium
AGR0101,Hanumangarh,Wheat,Rabi,Flowering,75,8.4,47.7,13.9,39.0,4.2,0,None,Low
AGR0102,Jaisalmer,Bajra,Kharif,Flowering,50,23.8,89.1,44.7,75.8,23.1,0,Downy Mildew,High
AGR0103,Bharatpur,Mustard,Rabi,Vegetative,33,32.3,60.4,20.3,51.5,10.8,0,None,Low
AGR0104,Alwar,Mustard,Rabi,Flowering,75,26.0,84.4,5.6,27.0,10.9,0,White Rust,Medium
AGR0105,Pali,Chickpea,Rabi,Maturity,93,21.0,37.6,2.0,18.1,23.2,0,None,Low
AGR0106,Bikaner,Wheat,Rabi,Flowering,77,34.4,52.3,2.2,10.4,1.8,0,None,Low
AGR0107,Bharatpur,Mustard,Rabi,Vegetative,41,32.1,55.5,8.0,24.0,13.3,1,None,Low
AGR0108,Baran,Soybean,Kharif,Seedling,2,28.4,73.5,43.0,73.8,16.6,0,None,Low
AGR0109,Churu,Wheat,Rabi,Vegetative,39,26.8,50.1,18.5,34.2,18.7,0,None,Low
AGR0110,Churu,Wheat,Rabi,Vegetative,25,11.2,61.5,6.4,25.3,22.5,0,None,Low
AGR0111,Churu,Wheat,Rabi,Flowering,71,19.5,84.7,2.3,27.3,21.8,0,Powdery Mildew,Medium
AGR0112,Sriganganagar,Wheat,Rabi,Flowering,55,26.2,72.2,7.7,34.9,13.8,0,Powdery Mildew,Medium
AGR0113,Pali,Chickpea,Rabi,Flowering,76,29.5,42.8,5.7,10.0,15.4,0,None,Low
AGR0114,Bundi,Soybean,Kharif,Seedling,6,32.5,63.5,14.9,34.1,7.8,0,None,Low
AGR0115,Jodhpur,Bajra,Kharif,Maturity,68,37.4,81.3,41.6,80.6,27.3,0,Ergot,Medium
AGR0116,Sikar,Chickpea,Rabi,Vegetative,45,20.8,33.7,1.2,14.4,8.3,1,Wilt,Medium
AGR0117,Jhalawar,Soybean,Kharif,Seedling,8,40.7,75.1,13.6,45.2,11.2,0,None,Low
AGR0118,Hanumangarh,Wheat,Rabi,Vegetative,48,24.2,65.9,3.8,28.1,27.4,0,None,Low
AGR0119,Pali,Chickpea,Rabi,Seedling,19,22.7,37.5,22.3,32.6,2.1,1,Wilt,Medium
AGR0120,Bharatpur,Mustard,Rabi,Flowering,49,32.5,84.8,17.5,49.7,21.6,1,White Rust,Medium
AGR0121,Kota,Soybean,Kharif,Seedling,11,28.7,95.2,26.5,60.9,20.5,1,Bacterial Pustule,Medium
AGR0122,Pali,Chickpea,Rabi,Seedling,6,33.0,83.6,20.8,61.4,8.5,0,Wilt,Medium
AGR0123,Tonk,Mustard,Rabi,Vegetative,34,34.1,64.5,23.3,51.3,18.9,1,None,Low
AGR0124,Churu,Wheat,Rabi,Vegetative,36,16.3,50.4,13.8,34.3,22.1,0,None,Low
AGR0125,Bikaner,Wheat,Rabi,Vegetative,30,16.6,61.9,8.6,32.2,22.8,0,None,Low
AGR0126,Tonk,Mustard,Rabi,Maturity,81,20.6,34.2,4.2,17.6,1.7,1,White Rust,Medium
AGR0127,Kota,Soybean,Kharif,Seedling,12,32.0,55.1,5.7,25.6,26.3,0,None,Low
AGR0128,Ajmer,Chickpea,Rabi,Maturity,91,31.6,54.9,24.6,44.7,0.0,1,None,Low
AGR0129,Churu,Wheat,Rabi,Seedling,10,24.6,63.9,11.4,35.5,11.1,1,None,Low
AGR0130,Bharatpur,Mustard,Rabi,Seedling,3,20.3,52.8,18.3,42.5,3.8,0,None,Low
AGR0131,Alwar,Mustard,Rabi,Vegetative,27,13.3,39.9,6.6,25.2,14.7,1,White Rust,Medium
AGR0132,Hanumangarh,Wheat,Rabi,Seedling,14,11.0,77.7,7.4,36.9,4.6,0,Powdery Mildew,Medium
AGR0133,Churu,Wheat,Rabi,Seedling,10,26.2,32.1,15.5,35.8,19.5,0,None,Low
AGR0134,Alwar,Mustard,Rabi,Maturity,90,13.8,32.3,9.1,26.2,2.8,1,White Rust,Medium
AGR0135,Pali,Chickpea,Rabi,Maturity,101,11.1,44.0,7.4,25.2,14.8,1,None,Low
AGR0136,Dausa,Mustard,Rabi,Seedling,11,26.3,62.6,3.7,17.5,4.8,1,None,Low
AGR0137,Dausa,Mustard,Rabi,Flowering,59,31.7,60.7,21.7,38.5,10.4,1,White Rust,Medium
AGR0138,Barmer,Bajra,Kharif,Flowering,61,34.3,75.1,16.0,40.5,13.2,1,Ergot,Medium
AGR0139,Tonk,Mustard,Rabi,Vegetative,23,21.6,41.0,7.9,22.0,22.2,1,White Rust,Medium
AGR0140,Rajsamand,Maize,Kharif,Flowering,50,40.3,67.3,15.3,45.5,5.5,0,None,Low
AGR0141,Udaipur,Maize,Kharif,Flowering,64,35.6,65.5,49.4,65.0,9.1,0,Common Rust,Medium
AGR0142,Sriganganagar,Wheat,Rabi,Vegetative,41,18.6,63.2,20.0,37.8,13.1,1,Powdery Mildew,Medium
AGR0143,Bharatpur,Mustard,Rabi,Flowering,70,19.4,84.8,0.3,24.8,25.1,0,White Rust,Medium
AGR0144,Tonk,Mustard,Rabi,Vegetative,21,12.0,73.2,15.4,35.5,9.6,0,White Rust,Medium
AGR0145,Hanumangarh,Wheat,Rabi,Vegetative,24,31.6,30.7,5.7,12.1,15.9,0,None,Low
AGR0146,Sriganganagar,Wheat,Rabi,Vegetative,45,17.5,63.6,0.6,17.3,3.3,1,Powdery Mildew,Medium
AGR0147,Nagaur,Bajra,Kharif,Maturity,88,24.5,59.1,23.0,40.6,21.1,1,Ergot,Medium
AGR0148,Dausa,Mustard,Rabi,Flowering,69,32.4,75.9,4.9,24.8,12.4,0,None,Low
AGR0149,Hanumangarh,Wheat,Rabi,Seedling,1,13.4,44.5,12.6,35.3,1.9,0,None,Low
AGR0150,Bikaner,Wheat,Rabi,Vegetative,31,13.9,81.4,11.7,41.5,12.5,1,Powdery Mildew,Medium
AGR0151,Sikar,Chickpea,Rabi,Seedling,16,8.4,43.6,21.7,42.9,4.6,0,None,Low
AGR0152,Sriganganagar,Wheat,Rabi,Flowering,56,19.2,30.8,12.0,23.5,0.6,0,Powdery Mildew,Medium
AGR0153,Sriganganagar,Wheat,Rabi,Vegetative,22,30.1,75.4,19.7,51.3,7.9,0,Powdery Mildew,Medium
AGR0154,Tonk,Mustard,Rabi,Flowering,66,30.6,59.9,9.3,33.4,17.5,0,None,Low
AGR0155,Udaipur,Maize,Kharif,Seedling,15,22.2,56.9,37.1,64.6,6.8,0,Common Rust,Medium
AGR0156,Hanumangarh,Wheat,Rabi,Vegetative,30,24.1,51.2,21.4,37.8,26.7,0,None,Low
AGR0157,Nagaur,Bajra,Kharif,Flowering,56,39.7,63.0,9.7,28.3,13.3,0,None,Low
AGR0158,Jhalawar,Soybean,Kharif,Flowering,57,22.1,51.2,27.7,53.9,14.6,1,Bacterial Pustule,Medium
AGR0159,Churu,Wheat,Rabi,Flowering,74,34.9,41.1,6.5,17.5,3.2,0,None,Low
AGR0160,Barmer,Bajra,Kharif,Flowering,46,40.4,87.3,41.1,69.1,25.3,0,Ergot,Medium
AGR0161,Alwar,Mustard,Rabi,Maturity,85,22.2,54.8,8.3,23.7,16.5,0,None,Low
AGR0162,Nagaur,Bajra,Kharif,Maturity,84,31.1,71.7,46.8,85.5,27.6,0,Ergot,Medium
AGR0163,Nagaur,Bajra,Kharif,Flowering,47,37.9,86.3,34.0,64.0,4.7,0,Ergot,Medium
AGR0164,Bharatpur,Mustard,Rabi,Maturity,101,9.6,68.0,18.2,43.9,1.3,0,None,Low
AGR0165,Hanumangarh,Wheat,Rabi,Vegetative,34,33.1,35.0,7.1,15.9,18.8,0,None,Low
AGR0166,Bundi,Soybean,Kharif,Flowering,65,25.4,52.7,16.6,39.5,21.4,0,Bacterial Pustule,Medium
AGR0167,Tonk,Mustard,Rabi,Vegetative,41,19.2,65.9,14.5,39.9,0.6,1,White Rust,Medium
AGR0168,Hanumangarh,Wheat,Rabi,Flowering,70,34.7,32.3,24.2,31.3,15.4,0,None,Low
AGR0169,Churu,Wheat,Rabi,Maturity,107,34.0,36.3,12.3,27.0,4.7,0,None,Low
AGR0170,Jodhpur,Bajra,Kharif,Maturity,73,23.0,79.6,10.4,27.9,16.5,1,Ergot,Medium
AGR0171,Barmer,Bajra,Kharif,Maturity,82,24.2,65.9,39.1,63.9,12.2,0,Ergot,Medium
AGR0172,Sriganganagar,Wheat,Rabi,Seedling,2,24.9,65.6,21.1,44.9,9.1,1,Powdery Mildew,Medium
AGR0173,Bharatpur,Mustard,Rabi,Maturity,108,26.6,82.9,18.3,56.1,13.7,1,White Rust,Medium
AGR0174,Sriganganagar,Wheat,Rabi,Vegetative,23,25.0,70.7,15.3,41.2,0.5,0,Powdery Mildew,Medium
AGR0175,Jodhpur,Bajra,Kharif,Seedling,3,25.9,88.9,13.6,39.2,20.5,1,Ergot,Medium
AGR0176,Hanumangarh,Wheat,Rabi,Flowering,77,18.0,58.7,1.7,18.1,5.1,1,Powdery Mildew,Medium
AGR0177,Jodhpur,Bajra,Kharif,Vegetative,34,41.1,92.7,32.6,71.6,12.9,1,Ergot,Medium
AGR0178,Bharatpur,Mustard,Rabi,Vegetative,31,26.2,64.0,14.2,32.5,1.7,1,White Rust,Medium
AGR0179,Sikar,Chickpea,Rabi,Vegetative,30,25.1,72.3,24.9,57.1,0.3,0,Wilt,Medium
AGR0180,Hanumangarh,Wheat,Rabi,Seedling,8,27.7,61.4,10.9,28.9,3.6,1,Powdery Mildew,Medium
AGR0181,Alwar,Mustard,Rabi,Flowering,66,19.0,49.5,7.6,19.4,20.5,0,None,Low
AGR0182,Bikaner,Wheat,Rabi,Vegetative,29,26.9,62.4,23.5,44.5,9.8,0,None,Low
AGR0183,Pali,Chickpea,Rabi,Vegetative,36,14.6,66.1,5.0,17.7,8.8,0,None,Low
AGR0184,Pali,Chickpea,Rabi,Maturity,98,14.1,33.8,20.7,24.1,7.1,0,None,Low
AGR0185,Bikaner,Wheat,Rabi,Vegetative,40,20.8,32.4,17.5,30.3,9.3,0,None,Low
AGR0186,Barmer,Bajra,Kharif,Flowering,42,36.9,69.8,9.8,32.4,14.4,1,None,Low
AGR0187,Baran,Soybean,Kharif,Vegetative,23,24.6,71.1,15.9,41.7,25.5,1,Bacterial Pustule,Medium
AGR0188,Barmer,Bajra,Kharif,Vegetative,33,23.2,83.3,9.1,35.5,8.9,0,Ergot,Medium
AGR0189,Alwar,Mustard,Rabi,Vegetative,26,19.2,79.9,6.1,42.9,2.6,1,White Rust,Medium
AGR0190,Bikaner,Wheat,Rabi,Seedling,0,16.6,35.8,3.2,15.4,16.1,1,None,Low
AGR0191,Hanumangarh,Wheat,Rabi,Seedling,7,9.6,31.7,17.9,24.1,10.1,0,None,Low
AGR0192,Pali,Chickpea,Rabi,Maturity,108,11.4,43.9,16.1,26.9,7.7,0,None,Low
AGR0193,Nagaur,Chickpea,Rabi,Maturity,85,21.4,36.7,14.7,28.7,8.9,1,Wilt,Medium
AGR0194,Nagaur,Bajra,Kharif,Vegetative,21,34.5,88.8,30.6,61.2,8.3,0,Ergot,Medium
AGR0195,Bharatpur,Mustard,Rabi,Maturity,94,14.9,48.0,4.1,13.2,5.1,1,None,Low
AGR0196,Tonk,Mustard,Rabi,Maturity,87,29.3,51.2,10.9,28.1,16.6,1,None,Low
AGR0197,Jaisalmer,Bajra,Kharif,Flowering,63,33.8,53.2,41.6,65.7,5.0,0,Ergot,Medium
AGR0198,Ajmer,Chickpea,Rabi,Maturity,93,27.5,72.5,17.9,51.2,16.2,0,None,Low
AGR0199,Nagaur,Chickpea,Rabi,Maturity,101,8.4,49.8,15.1,28.5,10.8,0,None,Low
AGR0200,Jhalawar,Soybean,Kharif,Flowering,52,39.3,64.8,14.7,35.0,7.4,0,None,Low
AGR0201,Barmer,Bajra,Kharif,Vegetative,21,28.7,76.8,35.4,73.5,18.6,0,Ergot,Medium
AGR0202,Sriganganagar,Wheat,Rabi,Maturity,107,29.8,78.7,20.4,49.7,0.5,1,Powdery Mildew,Medium
AGR0203,Hanumangarh,Wheat,Rabi,Flowering,53,27.9,41.5,3.3,11.8,17.9,0,None,Low
AGR0204,Ajmer,Chickpea,Rabi,Flowering,75,16.6,33.1,3.4,10.4,0.0,1,Wilt,Medium
AGR0205,Jaisalmer,Bajra,Kharif,Maturity,70,40.1,51.2,10.5,21.9,11.7,0,None,Low
AGR0206,Bikaner,Wheat,Rabi,Maturity,108,17.6,80.1,1.0,25.6,14.3,1,Powdery Mildew,Medium
AGR0207,Churu,Wheat,Rabi,Maturity,118,26.4,81.2,15.5,48.1,22.5,1,Powdery Mildew,Medium
AGR0208,Jodhpur,Bajra,Kharif,Flowering,59,23.7,68.5,18.7,51.1,24.8,1,Ergot,Medium
AGR0209,Hanumangarh,Wheat,Rabi,Flowering,75,12.1,38.4,8.2,13.9,1.5,1,Powdery Mildew,Medium
AGR0210,Churu,Wheat,Rabi,Flowering,65,12.9,83.1,10.7,42.1,17.7,0,Powdery Mildew,Medium
AGR0211,Tonk,Mustard,Rabi,Flowering,54,27.6,50.2,3.7,20.3,5.8,1,White Rust,Medium
AGR0212,Nagaur,Bajra,Kharif,Vegetative,17,28.3,80.5,19.9,46.7,0.2,1,Ergot,Medium
AGR0213,Barmer,Bajra,Kharif,Maturity,77,32.5,94.2,40.6,74.9,23.1,0,Ergot,Medium
AGR0214,Churu,Wheat,Rabi,Vegetative,46,29.5,47.8,19.1,27.7,4.0,1,Powdery Mildew,Medium
AGR0215,Barmer,Bajra,Kharif,Vegetative,39,35.2,80.8,1.3,29.0,22.1,1,None,Low
AGR0216,Churu,Wheat,Rabi,Seedling,0,32.4,44.7,20.3,31.2,2.3,0,None,Low
AGR0217,Alwar,Mustard,Rabi,Vegetative,40,24.2,56.7,13.6,29.6,25.9,0,None,Low
AGR0218,Jaisalmer,Bajra,Kharif,Maturity,84,39.4,87.7,13.7,44.8,25.5,1,Ergot,Medium
AGR0219,Jaisalmer,Bajra,Kharif,Flowering,51,24.0,91.0,16.4,37.9,1.5,1,Downy Mildew,High
AGR0220,Jhalawar,Soybean,Kharif,Flowering,66,35.4,61.1,12.2,26.4,8.6,0,None,Low
AGR0221,Jaisalmer,Bajra,Kharif,Flowering,57,23.3,58.5,0.3,24.0,12.5,0,None,Low
AGR0222,Jaisalmer,Bajra,Kharif,Maturity,76,23.7,82.8,11.8,39.6,26.4,0,Ergot,Medium
AGR0223,Churu,Wheat,Rabi,Maturity,107,31.5,45.9,19.6,34.0,22.5,1,None,Low
AGR0224,Tonk,Mustard,Rabi,Flowering,65,34.6,62.9,2.0,21.9,18.1,1,None,Low
AGR0225,Churu,Wheat,Rabi,Flowering,52,24.9,65.1,7.7,32.1,24.1,0,Powdery Mildew,Medium
AGR0226,Hanumangarh,Wheat,Rabi,Vegetative,28,33.9,42.0,2.2,20.9,5.4,0,None,Low
AGR0227,Dungarpur,Maize,Kharif,Seedling,14,38.4,82.5,31.8,57.3,11.3,0,None,Low
AGR0228,Alwar,Mustard,Rabi,Vegetative,29,23.6,46.9,11.9,23.2,22.2,1,White Rust,Medium
AGR0229,Pali,Chickpea,Rabi,Flowering,51,34.5,81.3,23.3,55.4,11.3,0,Wilt,Medium
AGR0230,Jaisalmer,Bajra,Kharif,Maturity,88,31.4,83.9,46.1,83.7,4.0,0,Ergot,Medium
AGR0231,Jhalawar,Soybean,Kharif,Seedling,2,28.1,56.7,30.6,47.0,8.6,0,None,Low
AGR0232,Dausa,Mustard,Rabi,Flowering,70,16.8,33.9,8.7,15.7,24.1,0,None,Low
AGR0233,Jodhpur,Bajra,Kharif,Vegetative,30,26.7,83.4,31.5,61.9,24.2,0,Ergot,Medium
